Number of elements: 2224 
Elements name, Alias, Datatype, Variable group name, Initial value, type of element, comment 
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY49,’3 ”49,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H3247,H3247,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK8B,X– 8B,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H3236,H3236,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY38,’3 ”38,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H320D,H320D,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H3203,H3203,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK7A,X– 7A,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK9C,X– 9C,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2202,H2202,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2268,H2268,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2279,H2279,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X4KY15,’4 ”15,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H4215,H4215,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H4204,H4204,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H1223,H1223,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H1212,H1212,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H120B,H120B,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H121C,H121C,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY16,’3 ”16,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZGK2,Z√ 2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY0F,’3 ”0F,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY05,’3 ”05,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X2KY39,’2 ”39,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZVKLD5,Z¬ Àƒ5,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZPND6,ZœÕƒ6,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X2KY06,’2 ”06,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X2KY17,’2 ”17,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZKPROJ,Z œ–Œ∆,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZV1PRA2,Z¬1œ–¿2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZV2PRA1,Z¬2œ–¿1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X4KY04,’4 ”04,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMPK22_1,”Ãœ 22_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMPK11_1,”Ãœ 11_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X1KY07,’1 ”07,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XISX,’»—’,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.Z2P,Z2œ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X1KY18,’1 ”18,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.HVM5,H¬Ã5,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK92,X– 92,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZSTT2,Z—““2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK81,X– 81,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X5KY0D,’5 ”0D,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZMREK1,ZÃ–› 1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK70,X– 70,BOOL,,,1,0,""
S3,,,,,1,8,""
DEVICE1.FBU_SFC_LD.FBU_SFC.VIP1MS,,BOOL,,,1,0,""
13,,,,,1,8,""
5,,,,,1,8,""
DEVICE1.FBU_SFC_LD.FBU_LD.SRNSO,S–Õ—Œ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__OGK1,__OGK1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__OND4,__OND4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK7S,’– 7—,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.STREVOG,S“–≈¬Œ√,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZTRRY_,Z“––”_,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_35,’061_35,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XB1P2,’B1œ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_24,’061_24,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XA1P1,’A1œ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XB1O1,’B1Œ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_13,’061_13,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XB2P1,’B2œ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X067_1,’067_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X066_2,’066_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X065_3,’065_3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVYDM2,”¬”ƒÃ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YSL2M,”—À2Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_27,’064_27,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YOBE2PBS,”Œ¡›2œ¡—,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_16,’064_16,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_4,’064_4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X060_34,’060_34,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X060_23,’060_23,BOOL,,,1,0,""
